,Year,Race,Sex,Average Life Expectancy (Years)
1,2014,All Races,Both Sexes,78.9
2,2013,All Races,Both Sexes,78.8
3,2012,All Races,Both Sexes,78.8
4,2011,All Races,Both Sexes,78.7
5,2010,All Races,Both Sexes,78.7
6,2009,All Races,Both Sexes,78.5
7,2008,All Races,Both Sexes,78.2
8,2007,All Races,Both Sexes,78.1
9,2006,All Races,Both Sexes,77.8
10,2005,All Races,Both Sexes,77.6
11,2004,All Races,Both Sexes,77.5
12,2003,All Races,Both Sexes,77.6
13,2002,All Races,Both Sexes,77.0
14,2001,All Races,Both Sexes,77.0
15,2000,All Races,Both Sexes,76.8
16,1999,All Races,Both Sexes,76.7
17,1998,All Races,Both Sexes,76.7
18,1997,All Races,Both Sexes,76.5
19,1996,All Races,Both Sexes,76.1
20,1995,All Races,Both Sexes,75.8
21,1994,All Races,Both Sexes,75.7
22,1993,All Races,Both Sexes,75.5
23,1992,All Races,Both Sexes,75.8
24,1991,All Races,Both Sexes,75.5
25,1990,All Races,Both Sexes,75.4
26,1989,All Races,Both Sexes,75.1
27,1988,All Races,Both Sexes,74.9
28,1987,All Races,Both Sexes,74.9
29,1986,All Races,Both Sexes,74.7
30,1985,All Races,Both Sexes,74.7
31,1984,All Races,Both Sexes,74.7
32,1983,All Races,Both Sexes,74.6
33,1982,All Races,Both Sexes,74.5
34,1981,All Races,Both Sexes,74.1
35,1980,All Races,Both Sexes,73.7
36,1979,All Races,Both Sexes,73.9
37,1978,All Races,Both Sexes,73.5
38,1977,All Races,Both Sexes,73.3
39,1976,All Races,Both Sexes,72.9
40,1975,All Races,Both Sexes,72.6
41,1974,All Races,Both Sexes,72.0
42,1973,All Races,Both Sexes,71.4
43,1972,All Races,Both Sexes,71.2
44,1971,All Races,Both Sexes,71.1
45,1970,All Races,Both Sexes,70.8
46,1969,All Races,Both Sexes,70.5
47,1968,All Races,Both Sexes,70.2
48,1967,All Races,Both Sexes,70.5
49,1966,All Races,Both Sexes,70.2
50,1965,All Races,Both Sexes,70.2
51,1964,All Races,Both Sexes,70.2
52,1963,All Races,Both Sexes,69.9
53,1962,All Races,Both Sexes,70.1
54,1961,All Races,Both Sexes,70.2
55,1960,All Races,Both Sexes,69.7
56,1959,All Races,Both Sexes,69.9
57,1958,All Races,Both Sexes,69.6
58,1957,All Races,Both Sexes,69.5
59,1956,All Races,Both Sexes,69.7
60,1955,All Races,Both Sexes,69.6
61,1954,All Races,Both Sexes,69.6
62,1953,All Races,Both Sexes,68.8
63,1952,All Races,Both Sexes,68.6
64,1951,All Races,Both Sexes,68.4
65,1950,All Races,Both Sexes,68.2
66,1949,All Races,Both Sexes,68.0
